Name,Value,MOE
Total number of housing units,859653,241
Owner-occupied housing units,536082,3576
Renter-occupied housing units,185366,2888
Single-family detached units,608242,2933
Home ownership rate,74.3,0.4
Vacancy rate,16.1,0.3
Percent with a broadband internet subscription,84.4,0.4
Median owner-occupied housing unit value,155600,1679
Average housing value,195927,3679
Median selected monthly owner cost,644,9
Average monthly owner cost (with a mortgage),645,11
Median rent (housing),850,9
Average rent (housing),684,18
Median year structure built,1976,1
