Name,Value,MOE
Total number of employer and nonemployer businesses,227805,
"Total sales, value of shipments, or revenue of employer and nonemployer businesses ($1,000)",0,
Minority-owned non-employer businesses,14030,
White-owned non-employer businesses,167360,
Black-owned non-employer businesses,6660,
American Indian- and Alaska Native-owned employer businesses,1060,
Asian-owned non-employer businesses,3450,
Native Hawaiian- and Other Pacific Islander-owned non-employer businesses,60,
Hispanic-owned non-employer businesses,3360,
Female-owned non-employer businesses,77000,
Male-owned non-employer businesses,95000,
Veteran-owned non-employer businesses,12780,
