Name,Value,MOE
Establishments,58772,
Number of establishments change (2023 to 2024),2552,
Number of establishments percent change (2023 to 2024) (%),4.5,
Number of establishments location quotient,0.96,
Employment (1st month of the quarter),560551,
Employment change month 1 (1st month of the quarter in 2023 to 2024),2989,
Employment percent change (1st month of the quarter in 2023 to 2024) (%),0.5,
Employment location quotient (1st month of the quarter),0.94,
Employment (2nd month of the quarter),562439,
Employment change month 2 (2nd month of the quarter in 2023 to 2024),3184,
Employment percent change (2nd month of the quarter in 2023 to 2024) (%),0.6,
Employment location quotient (2nd month of the quarter),0.94,
Employment (3rd month of the quarter),561511,
Employment change month 3 (3rd month of the quarter in 2023 to 2024),3120,
Employment percent change (3rd month of the quarter in 2023 to 2024) (%),0.6,
Employment location quotient (3rd month of the quarter),0.94,
Total wages ($),8432264583,
Total wages change (2023 to 2024) ($),335453015,
Total wages percent change (2023 to 2024) (%),4.1,
Total wages location quotient,0.93,
Average weekly wages ($),1155,
Average weekly wages change (2023 to 2024) ($),40,
Average weekly wages percent change (2023 to 2024) (%),3.6,
Average weekly wages location quotient,0.99,
