Name,Value,MOE
Median household income,57917,607
Average income,78799,939
Percent high school degree or higher,88.6,0.3
Percent Bachelor's degree or higher,23.3,0.4
Average household size,2.4,
Percent in poverty,16.6,0.4
Percent population 16 years and over in labor force,53.6,0.3
Percent employed,50.4,0.3
Percent disabled,19.1,0.2
Percent with health coverage,93.8,0.2
Percent of all workers 16 and over who commute to work,92,0.5
Percent who drive alone to work,79,0.4
Percent who carpool to work,8.5,0.4
Percent who use public transportation to commute to work,0.6,0.1
Percent who walk to work,2.6,0.2
Percent who use other means to commute to work,1.3,0.1
Percent who work from home,8,0.3
Average travel time to work (mins),26.6,0.4
Percent with no vehicles available,8.2,0.2
Percent with 1 vehicle available,34.1,0.4
Percent with 2 or more vehicles available,57.7,0.5
Percent veterans,7.7,0.2
Percent foreign born,1.7,
Percent speaking Spanish at home,1.1,0.1
Percent speaking other Indo-European languages at home,0.7,0.1
Percent speaking other Asian and Pacific Island languages at home,0.4,0
