Name,Value,MOE
All Employer establishments (Total),288788,
All Nonemployer firms,779552,
Total employment of employers,5200371,
"Total annual payroll of employers ($1,000)",306433840,
"Total revenue of employers ($1,000)",1808899682,
"Revenue of nonemployer firms ($1,000)",44767786,
Establishment Entrants,23444,
Establishment Exits,21916,
All Employer firms (Total),197545,
Firms Age 0 (startups),13650,
Firms Age 1-5 Years,41032,
Firms Age 6-10 Year,27762,
Firms Age 11+ Years,92377,
Firms born before 1977,22720,
Firms with 1 to 19 employees,85721,
Firms with 20 to 499 employees,14230,
Firms with 500 or more employees,318,
"Total revenue of employers ($1,000) for Islands",n/a,
