Name,Value,MOE
Total consumer expenditures per household ,89015.04,
Consumer expenditures per household on Alcoholic beverages,579.82,
Consumer expenditures per household on Alcoholic beverages consumed at home,350.6,
Consumer expenditures per household on Apparel & services,2127.12,
Consumer expenditures per household on Men's Apparel,398.79,
Consumer expenditures per household on Women's Apparel,712.52,
Consumer expenditures per household on Children's Apparel,331.69,
Consumer expenditures per household on Boys' Apparel,123.06,
Consumer expenditures per household on Girls' Apparel,120.72,
Consumer expenditures per household on Footware,443.94,
Consumer expenditures per household on Dining out (Food away from home),3473.13,
Consumer expenditures per household on Education,1538.44,
Consumer expenditures per household on Entertainment / Recreation,3737.34,
Consumer expenditures per household on Club membership fees,273.87,
Consumer expenditures per household on Dating services,0.73,
Consumer expenditures per household on Pet food,347.01,
Consumer expenditures per household on Pet services,96.16,
Consumer expenditures per household on Food consumed at home,6592.32,
Consumer expenditures per household on Bakery products consumed at home,850.93,
Consumer expenditures per household on Dairy products consumed at home,628.56,
Consumer expenditures per household on Fruits and vegetables consumed at home,1281.34,
"Consumer expenditures per household on Meat, poultry, fish, and eggs consumed at home",1411.32,
Consumer expenditures per household on Nonalcoholic beverages consumed at home,676.73,
Consumer expenditures per household on Snacks and other food products consumed at home,2420.17,
Consumer expenditures per household on Health Care,7324.91,
Consumer expenditures per household on Medical services,1466.93,
Consumer expenditures per household on Nonprescription drugs,166.93,
Consumer expenditures per household on Household Services,2495.49,
Consumer expenditures per household on Care for the elderly and handicapped,31.69,
Consumer expenditures per household on Lawn and garden services,653.82,
Consumer expenditures per household on Housekeeping services,203.27,
Consumer expenditures per household on PC repair,5.28,
Consumer expenditures per household on Housing,28830.9,
Consumer expenditures per household on Home improvements,5194.99,
"Consumer expenditures per household on Utilities, fuel, and public services",5550.03,
Consumer expenditures per household on Phone services,1785.99,
Consumer expenditures per household on Water,866.83,
Consumer expenditures per household on Life and other insurance,624.54,
Consumer expenditures per household on Pensions and social security,9463.27,
Consumer expenditures per household on Personal Care Products and Services,872.86,
Consumer expenditures per household on Hair care products,97.12,
Consumer expenditures per household on Personal care products,373.24,
Consumer expenditures per household on Local Transportation,10247.81,
Consumer expenditures per household on Gasoline,2943.49,
Consumer expenditures per household on Vehicle maintenance and repair,1374.36,
Consumer expenditures per household on Travel,2695.84,
Consumer expenditures per household on Airline fares,535.27,
Consumer expenditures per household on Auto/Truck rental on trips,104.42,
Consumer expenditures per household on Lodging on trips,876.46,
Consumer expenditures per household on Food and drink on trips,669.28,
Consumer expenditures per household on Entertainment on trips,163.62,
Consumer expenditures per household on Child Care,475.54,
Consumer expenditures per household on Day Care/Nursery & Preschools,347.81,
Consumer expenditures per household on Babysitting/Child Care in Own/Other Home,127.72,
