Name,Value,MOE
Total population,5892023,
Percent male,50.1,
Percent female,49.9,
Percent under 5 years,5.4,
Percent under 18 years,21.6,
Percent 18 years and over ,78.4,
Percent 21 years and over,74.3,
Percent working age (25 to 64 years),51,
Percent 65 years and over,18,
Median age,40.1,0.1
Percent White,81.32,
Percent Black or African American,6.14,
Percent American Indian and Alaska Native,0.74,
Percent Asian,2.88,
Percent Native Hawaiian and Other Pacific Islander,0.04,
Percent some other race,2.36,
Percent two or more races,6.52,
Percent Hispanic (of any race),7.77,
