Name,Value,MOE
All Employer establishments (Total),144443,
Average employment per employer,18,
Establishments with less than 5 employees,73794,
Establishments with 5 to 9 employees,27190,
Average payroll per employee,58924,
Establishments with 10 to 19 employees,19551,
Establishments with 20 to 49 employees,14868,
Establishments with 50 to 99 employees,4900,
Population per employer,41,
Establishments with 100 to 249 employees,2875,
Establishments with 250 to 499 employees,796,
Establishments with 500 to 999 employees,311,
"Establishments with 1,000 employees or more",158,
Total employment of employers,2600303,
"Total annual payroll of employers ($1,000)",153219064,
Number of farm operations (Ag only),36656,
Total contract and hired labor expense (Ag only),21428000,
Total operating expense (Ag only),3249838000,
Establishment Entrants,11722,
Establishment Exits,10958,
All Employer firms (Total),97801,
Firms Age 0 (startups),6826,
Firms Age 1-5 Years,20500,
Firms Age 6-10 Year,13855,
Firms Age 11+ Years,45847,
Firms born before 1977,10773,
Firms with 1 to 19 employees,85721,
Firms with 20 to 499 employees,14230,
Firms with 500 or more employees,318,
