Name,Value,MOE
Total Civilian employed population 16 years and over,3018918,7836
"Agriculture, forestry, fishing and hunting, and mining",62644,1675
"Arts, entertainment, and recreation, and accommodation and food services",227255,3625
Construction,188476,2744
"Educational services, and health care and social assistance",703648,5537
"Finance and insurance, and real estate and rental and leasing",184973,2914
Information,43417,1502
Manufacturing,544544,4956
"Other services, except public administration",127591,2544
"Professional, scientific, and management, and administrative and waste management services",274289,3817
Public administration,107415,2179
Retail trade,331673,4857
"Transportation and warehousing, and utilities",148248,2832
Wholesale trade,74745,1942
