Name,Value,MOE
Total number of housing units,2750750,1389
Owner-occupied housing units,1660505,8638
Renter-occupied housing units,785523,5350
Single-family detached units,1828241,5998
Home ownership rate,67.9,0.3
Vacancy rate,11.1,0.2
Percent with a broadband internet subscription,89.2,0.2
Median owner-occupied housing unit value,247400,937
Average housing value,300021,2828
Median selected monthly owner cost,1218,6
Average monthly owner cost (with a mortgage),1136,10
Median rent (housing),1045,4
Average rent (housing),977,11
Median year structure built,1975,1
