Name,Value,MOE
Establishments,204681,
Number of establishments change (2023 to 2024),8756,
Number of establishments percent change (2023 to 2024) (%),4.5,
Number of establishments location quotient,0.99,
Employment (1st month of the quarter),2566943,
Employment change month 1 (1st month of the quarter in 2023 to 2024),12163,
Employment percent change (1st month of the quarter in 2023 to 2024) (%),0.5,
Employment location quotient (1st month of the quarter),1.02,
Employment (2nd month of the quarter),2559377,
Employment change month 2 (2nd month of the quarter in 2023 to 2024),9856,
Employment percent change (2nd month of the quarter in 2023 to 2024) (%),0.4,
Employment location quotient (2nd month of the quarter),1.01,
Employment (3rd month of the quarter),2556408,
Employment change month 3 (3rd month of the quarter in 2023 to 2024),6621,
Employment percent change (3rd month of the quarter in 2023 to 2024) (%),0.3,
Employment location quotient (3rd month of the quarter),1.02,
Total wages ($),42927666736,
Total wages change (2023 to 2024) ($),1743466079,
Total wages percent change (2023 to 2024) (%),4.2,
Total wages location quotient,1.01,
Average weekly wages ($),1289,
Average weekly wages change (2023 to 2024) ($),47,
Average weekly wages percent change (2023 to 2024) (%),3.8,
Average weekly wages location quotient,1,
