Name,Value,MOE
Median household income,75670,402
Average income,99059,672
Percent high school degree or higher,93.4,0.1
Percent Bachelor's degree or higher,32.8,0.2
Average household size,2.35,
Percent in poverty,10.6,0.2
Percent population 16 years and over in labor force,65.5,0.1
Percent employed,63.3,0.2
Percent disabled,12,0.1
Percent with health coverage,94.7,0.1
Percent of all workers 16 and over who commute to work,88.4,0.2
Percent who drive alone to work,75.5,0.1
Percent who carpool to work,7.4,0.1
Percent who use public transportation to commute to work,1.2,0.1
Percent who walk to work,2.7,0.1
Percent who use other means to commute to work,1.5,0.1
Percent who work from home,11.6,0.1
Average travel time to work (mins),22.2,0.1
Percent with no vehicles available,6.3,0.1
Percent with 1 vehicle available,32.7,0.2
Percent with 2 or more vehicles available,60.9,0.3
Percent veterans,6.4,0.1
Percent foreign born,5.1,
Percent speaking Spanish at home,4.8,0.1
Percent speaking other Indo-European languages at home,1.9,0.1
Percent speaking other Asian and Pacific Island languages at home,1.7,0
