Name,Value,MOE
Total consumer expenditures per household ,83549.02,
Consumer expenditures per household on Alcoholic beverages,535.63,
Consumer expenditures per household on Alcoholic beverages consumed at home,328.32,
Consumer expenditures per household on Apparel & services,1971.44,
Consumer expenditures per household on Men's Apparel,368.66,
Consumer expenditures per household on Women's Apparel,664.57,
Consumer expenditures per household on Children's Apparel,308.43,
Consumer expenditures per household on Boys' Apparel,114.21,
Consumer expenditures per household on Girls' Apparel,113.84,
Consumer expenditures per household on Footware,412.39,
Consumer expenditures per household on Dining out (Food away from home),3268.94,
Consumer expenditures per household on Education,1403.54,
Consumer expenditures per household on Entertainment / Recreation,3509.01,
Consumer expenditures per household on Club membership fees,251.3,
Consumer expenditures per household on Dating services,0.67,
Consumer expenditures per household on Pet food,328.85,
Consumer expenditures per household on Pet services,90.73,
Consumer expenditures per household on Food consumed at home,6167.84,
Consumer expenditures per household on Bakery products consumed at home,794.21,
Consumer expenditures per household on Dairy products consumed at home,588.24,
Consumer expenditures per household on Fruits and vegetables consumed at home,1196.59,
"Consumer expenditures per household on Meat, poultry, fish, and eggs consumed at home",1320.49,
Consumer expenditures per household on Nonalcoholic beverages consumed at home,634.57,
Consumer expenditures per household on Snacks and other food products consumed at home,2268.31,
Consumer expenditures per household on Health Care,6882.74,
Consumer expenditures per household on Medical services,1372.57,
Consumer expenditures per household on Nonprescription drugs,159.16,
Consumer expenditures per household on Household Services,2350.73,
Consumer expenditures per household on Care for the elderly and handicapped,28.56,
Consumer expenditures per household on Lawn and garden services,622.19,
Consumer expenditures per household on Housekeeping services,196.89,
Consumer expenditures per household on PC repair,4.9,
Consumer expenditures per household on Housing,27022.17,
Consumer expenditures per household on Home improvements,4979.33,
"Consumer expenditures per household on Utilities, fuel, and public services",5222.45,
Consumer expenditures per household on Phone services,1677.13,
Consumer expenditures per household on Water,833.76,
Consumer expenditures per household on Life and other insurance,587.27,
Consumer expenditures per household on Pensions and social security,8837.38,
Consumer expenditures per household on Personal Care Products and Services,819.42,
Consumer expenditures per household on Hair care products,90.38,
Consumer expenditures per household on Personal care products,351.79,
Consumer expenditures per household on Local Transportation,9655.04,
Consumer expenditures per household on Gasoline,2793.31,
Consumer expenditures per household on Vehicle maintenance and repair,1293.97,
Consumer expenditures per household on Travel,2529.42,
Consumer expenditures per household on Airline fares,502.66,
Consumer expenditures per household on Auto/Truck rental on trips,97.05,
Consumer expenditures per household on Lodging on trips,824.6,
Consumer expenditures per household on Food and drink on trips,625.56,
Consumer expenditures per household on Entertainment on trips,152.65,
Consumer expenditures per household on Child Care,442.26,
Consumer expenditures per household on Day Care/Nursery & Preschools,323.41,
Consumer expenditures per household on Babysitting/Child Care in Own/Other Home,118.85,
