Name,Value,MOE
Total population,579761,
Percent male,51.2,
Percent female,48.8,
Percent under 5 years,5.5,
Percent under 18 years,22.8,
Percent 18 years and over ,77.2,
Percent 21 years and over,73.2,
Percent working age (25 to 64 years),50.2,
Percent 65 years and over,18,
Median age,38.8,0.2
Percent White,85.96,
Percent Black or African American,0.86,
Percent American Indian and Alaska Native,2.06,
Percent Asian,0.83,
Percent Native Hawaiian and Other Pacific Islander,0.09,
Percent some other race,3.13,
Percent two or more races,7.08,
Percent Hispanic (of any race),10.45,
