Name,Value,MOE
Total Civilian employed population 16 years and over,285935,2315
"Agriculture, forestry, fishing and hunting, and mining",27173,1418
"Arts, entertainment, and recreation, and accommodation and food services",26256,1324
Construction,24880,1246
"Educational services, and health care and social assistance",70707,2127
"Finance and insurance, and real estate and rental and leasing",13414,1122
Information,4279,575
Manufacturing,12594,824
"Other services, except public administration",13800,1042
"Professional, scientific, and management, and administrative and waste management services",20912,1146
Public administration,18467,1093
Retail trade,31063,1551
"Transportation and warehousing, and utilities",17605,1012
Wholesale trade,4785,629
