Name,Value,MOE
Total number of housing units,275131,170
Owner-occupied housing units,171299,1886
Renter-occupied housing units,66877,1802
Single-family detached units,186358,1549
Home ownership rate,71.9,0.7
Vacancy rate,13.4,0.5
Percent with a broadband internet subscription,89.1,0.4
Median owner-occupied housing unit value,285100,3775
Average housing value,398173,13319
Median selected monthly owner cost,1129,24
Average monthly owner cost (with a mortgage),1054,27
Median rent (housing),968,16
Average rent (housing),933,45
Median year structure built,1980,1
