Name,Value,MOE
Establishments,29564,
Number of establishments change (2023 to 2024),584,
Number of establishments percent change (2023 to 2024) (%),2,
Number of establishments location quotient,0.98,
Employment (1st month of the quarter),215039,
Employment change month 1 (1st month of the quarter in 2023 to 2024),220,
Employment percent change (1st month of the quarter in 2023 to 2024) (%),0.1,
Employment location quotient (1st month of the quarter),0.89,
Employment (2nd month of the quarter),210004,
Employment change month 2 (2nd month of the quarter in 2023 to 2024),-417,
Employment percent change (2nd month of the quarter in 2023 to 2024) (%),-0.2,
Employment location quotient (2nd month of the quarter),0.88,
Employment (3rd month of the quarter),211168,
Employment change month 3 (3rd month of the quarter in 2023 to 2024),-492,
Employment percent change (3rd month of the quarter in 2023 to 2024) (%),-0.2,
Employment location quotient (3rd month of the quarter),0.89,
Total wages ($),3821354491,
Total wages change (2023 to 2024) ($),503938870,
Total wages percent change (2023 to 2024) (%),15.2,
Total wages location quotient,0.91,
Average weekly wages ($),1386,
Average weekly wages change (2023 to 2024) ($),184,
Average weekly wages percent change (2023 to 2024) (%),15.3,
Average weekly wages location quotient,1.03,
