Name,Value,MOE
Median household income,74815,1225
Average income,97459,1900
Percent high school degree or higher,94.1,0.3
Percent Bachelor's degree or higher,29.9,0.6
Average household size,2.38,
Percent in poverty,10.7,0.6
Percent population 16 years and over in labor force,65,0.4
Percent employed,61.9,0.5
Percent disabled,13.9,0.3
Percent with health coverage,88.4,0.5
Percent of all workers 16 and over who commute to work,91.5,0.9
Percent who drive alone to work,75.8,0.7
Percent who carpool to work,9.7,0.4
Percent who use public transportation to commute to work,0.9,0.2
Percent who walk to work,3.4,0.3
Percent who use other means to commute to work,1.7,0.2
Percent who work from home,8.5,0.5
Average travel time to work (mins),18.5,0.5
Percent with no vehicles available,4,0.4
Percent with 1 vehicle available,27,0.6
Percent with 2 or more vehicles available,69.1,1
Percent veterans,9.2,0.3
Percent foreign born,3.5,
Percent speaking Spanish at home,4.7,0.3
Percent speaking other Indo-European languages at home,1.1,0.1
Percent speaking other Asian and Pacific Island languages at home,0.7,0.1
